Province_State,Country_Region,Lat,Long,Date,Confirmed Cases
Espirito Santo,Brazil,-20.289,-40.308,03/27/20,6
Goias,Brazil,-16.667,-49.25,03/27/20,10
Maranhao,Brazil,-2.528,-44.304,03/27/20,3
Minas Gerais,Brazil,-19.917,-43.933,03/27/20,36
Mato Grosso do Sul,Brazil,-20.484,-54.615,03/27/20,3
Mato Grosso,Brazil,-15.596,-56.096,03/27/20,0
Para,Brazil,-1.456,-48.504,03/27/20,3
Paraiba,Brazil,-7.083,-34.833,03/27/20,4
Pernambuco,Brazil,-8.05,-34.9,03/27/20,9
Piaui,Brazil,-5.095,-42.8042,03/27/20,1
Parana,Brazil,-25.417,-49.25,03/27/20,19
Rio de Janeiro,Brazil,-22.911,-43.206,03/27/20,72
Rio Grande do Norte,Brazil,-5.783,-35.2,03/27/20,9
Rondonia,Brazil,-8.762,-63.904,03/27/20,0
Roraima,Brazil,2.819,-60.671,03/27/20,2
Rio Grande do Sul,Brazil,-30.033,-51.23,03/27/20,7
Santa Catarina,Brazil,-27.612,-48.485,03/27/20,14
Sergipe,Brazil,-10.917,-37.05,03/27/20,0
Sao Paulo,Brazil,-23.55,-46.633,03/27/20,170
Tocantins,Brazil,-10.184,-48.334,03/27/20,1
Brazil,Brazil,-14.2,-51.9,03/27/20,486
Acre,Brazil,-9.975,-67.81,03/28/20,0
Alagoas,Brazil,-9.666,-35.735,03/28/20,2
Amazonas,Brazil,-3.1,-60.017,03/28/20,30
Amapa,Brazil,0.034,-51.066,03/28/20,1
Bahia,Brazil,-12.975,-38.477,03/28/20,4
Ceara,Brazil,-3.728,-38.528,03/28/20,40
Distrito Federal,Brazil,-15.794,-47.883,03/28/20,19
Espirito Santo,Brazil,-20.289,-40.308,03/28/20,7
Goias,Brazil,-16.667,-49.25,03/28/20,7
Maranhao,Brazil,-2.528,-44.304,03/28/20,2
Minas Gerais,Brazil,-19.917,-43.933,03/28/20,16
Mato Grosso do Sul,Brazil,-20.484,-54.615,03/28/20,3
Mato Grosso,Brazil,-15.596,-56.096,03/28/20,2
Para,Brazil,-1.456,-48.504,03/28/20,2
Paraiba,Brazil,-7.083,-34.833,03/28/20,4
Pernambuco,Brazil,-8.05,-34.9,03/28/20,11
Piaui,Brazil,-5.095,-42.8042,03/28/20,1
Parana,Brazil,-25.417,-49.25,03/28/20,12
Rio de Janeiro,Brazil,-22.911,-43.206,03/28/20,65
Rio Grande do Norte,Brazil,-5.783,-35.2,03/28/20,40
Rondonia,Brazil,-8.762,-63.904,03/28/20,0
Roraima,Brazil,2.819,-60.671,03/28/20,4
Rio Grande do Sul,Brazil,-30.033,-51.23,03/28/20,3
Santa Catarina,Brazil,-27.612,-48.485,03/28/20,21
Sergipe,Brazil,-10.917,-37.05,03/28/20,0
Sao Paulo,Brazil,-23.55,-46.633,03/28/20,183
Tocantins,Brazil,-10.184,-48.334,03/28/20,0
Brazil,Brazil,-14.2,-51.9,03/28/20,479
