Province_State,Country_Region,Lat,Long,Date,Confirmed Cases
Minas Gerais,Brazil,-19.917,-43.933,2020-03-27,36
Mato Grosso do Sul,Brazil,-20.484,-54.615,2020-03-27,3
Mato Grosso,Brazil,-15.596,-56.096,2020-03-27,0
Para,Brazil,-1.456,-48.504,2020-03-27,3
Paraiba,Brazil,-7.083,-34.833,2020-03-27,4
Pernambuco,Brazil,-8.05,-34.9,2020-03-27,9
Piaui,Brazil,-5.095,-42.8042,2020-03-27,1
Parana,Brazil,-25.417,-49.25,2020-03-27,19
Rio de Janeiro,Brazil,-22.911,-43.206,2020-03-27,72
Rio Grande do Norte,Brazil,-5.783,-35.2,2020-03-27,9
Rondonia,Brazil,-8.762,-63.904,2020-03-27,0
Roraima,Brazil,2.819,-60.671,2020-03-27,2
Rio Grande do Sul,Brazil,-30.033,-51.23,2020-03-27,7
Santa Catarina,Brazil,-27.612,-48.485,2020-03-27,14
Sergipe,Brazil,-10.917,-37.05,2020-03-27,0
Sao Paulo,Brazil,-23.55,-46.633,2020-03-27,170
Tocantins,Brazil,-10.184,-48.334,2020-03-27,1
Brazil,Brazil,-14.2,-51.9,2020-03-27,486
Acre,Brazil,-9.975,-67.81,2020-03-28,0
Alagoas,Brazil,-9.666,-35.735,2020-03-28,2
Amazonas,Brazil,-3.1,-60.017,2020-03-28,30
Amapa,Brazil,0.034,-51.066,2020-03-28,1
Bahia,Brazil,-12.975,-38.477,2020-03-28,4
Ceara,Brazil,-3.728,-38.528,2020-03-28,40
Distrito Federal,Brazil,-15.794,-47.883,2020-03-28,19
Espirito Santo,Brazil,-20.289,-40.308,2020-03-28,7
Goias,Brazil,-16.667,-49.25,2020-03-28,7
Maranhao,Brazil,-2.528,-44.304,2020-03-28,2
Minas Gerais,Brazil,-19.917,-43.933,2020-03-28,16
Mato Grosso do Sul,Brazil,-20.484,-54.615,2020-03-28,3
Mato Grosso,Brazil,-15.596,-56.096,2020-03-28,2
